Date,Real,Pred
2023-06-16,30.239999771118164,33.25300313299006
2023-06-20,29.940000534057617,31.283045268837675
2023-06-21,26.959999084472656,26.83962854706056
2023-06-22,25.940000534057617,25.305941329706833
2023-06-23,25.899999618530273,25.43005805924903
2023-06-26,25.899999618530273,25.55667899712793
2023-06-27,25.68000030517578,25.373954568374234
2023-07-03,25.68000030517578,25.54983987969202
2023-07-04,26.559999465942383,26.549284790250162
2023-07-05,26.600000381469727,26.618666644436413
2023-07-06,26.799999237060547,26.86714896848769
2023-07-07,27.739999771118164,28.069942664153224
2023-07-10,30.5,30.601261036785612
2023-07-12,30.860000610351562,31.216693522326135
2023-07-13,33.939998626708984,34.50886773756643
2023-07-14,37.31999969482422,38.04827833448691
2023-07-17,37.47999954223633,38.270888483865996
2023-07-18,34.540000915527344,35.00221511213063
2023-07-19,34.58000183105469,35.05575725007762
2023-07-20,35.2599983215332,35.75928074622699
2023-07-21,35.599998474121094,36.100802348493914
2023-07-24,35.68000030517578,36.168004839888354
2023-07-25,36.58000183105469,36.802333142206045
2023-07-26,37.459999084472656,37.74554389378469
2023-07-27,38.880001068115234,39.2524300215595
2023-07-28,37.91999816894531,38.23374068834605
2023-07-31,37.20000076293945,37.46794481142684
2023-08-01,36.5,36.715985983736324
2023-08-02,36.779998779296875,36.967490730651285
2023-08-03,40.439998626708984,40.97686724530266
2023-08-04,40.29999923706055,40.831202097889566
2023-08-07,44.31999969482422,45.01285536182568
2023-08-08,42.70000076293945,43.31706118240521
2023-08-09,42.79999923706055,43.40448855447981
2023-08-10,40.68000030517578,41.18079561407634
2023-08-11,41.5,42.036433270529635
2023-08-14,41.099998474121094,41.60235229869583
2023-08-15,42.400001525878906,42.93477274334616
2023-08-16,44.2400016784668,44.81891019237927
2023-08-17,44.439998626708984,45.01517131662762
2023-08-18,45.29999923706055,45.90055010835319
2023-08-21,47.099998474121094,47.770613104251055
2023-08-22,45.599998474121094,46.18185569400005
2023-08-23,44.84000015258789,45.3786492711894
2023-08-24,41.20000076293945,41.613825782984435
2023-08-25,41.2400016784668,41.63401275318897
2023-08-28,44.400001525878906,44.90657074973745
2023-08-29,44.060001373291016,44.54089730965336
2023-08-31,44.5,44.97756783968341
2023-09-01,43.36000061035156,43.784551494940665
2023-09-04,42.400001525878906,42.77198578453734
2023-09-05,43.29999923706055,43.69074413049796
2023-09-06,42.0,42.33734602163444
2023-09-07,42.2400016784668,42.60062144964447
2023-09-08,42.7599983215332,43.125172903561605
2023-09-11,43.02000045776367,43.38370241358517
2023-09-12,42.599998474121094,42.94271873612076
2023-09-13,41.7400016784668,42.049233903024536
2023-09-15,41.2599983215332,41.54618466761826
2023-09-18,38.880001068115234,39.10723305520605
2023-09-19,39.15999984741211,39.38540432893727
2023-09-20,38.18000030517578,38.37754559787352
2023-09-21,40.79999923706055,41.062770196287346
2023-09-22,42.400001525878906,42.694773364255255
2023-09-25,43.31999969482422,43.633872306609035
2023-09-26,42.02000045776367,42.29905225902033
2023-09-27,41.7599983215332,42.02782675088958
2023-09-28,42.0,42.26648054115166
2023-09-29,43.18000030517578,43.46867441691631
2023-10-02,44.08000183105469,44.38585599239636
2023-10-03,43.15999984741211,43.43957462086174
2023-10-04,42.29999923706055,42.55519403784115
2023-10-05,43.0,43.26379375357892
2023-10-06,42.599998474121094,42.84974147844114
2023-10-10,41.099998474121094,41.31384287561489
2023-10-11,39.900001525878906,40.08739416800249
2023-10-12,38.720001220703125,38.882584981560925
2023-10-13,37.099998474121094,37.23440431394841
2023-10-16,35.31999969482422,35.42826270011085
2023-10-17,36.34000015258789,36.459099273258275
2023-10-18,34.220001220703125,34.30732830388121
2023-10-19,37.63999938964844,37.78688282820876
2023-10-20,36.79999923706055,36.94034319414046
2023-10-23,38.70000076293945,38.86299157728421
2023-10-24,40.459999084472656,40.64617271287642
2023-10-25,36.540000915527344,36.65471115833124
2023-10-26,40.18000030517578,40.32558933004981
2023-10-27,41.2599983215332,41.417448000680004
2023-10-30,43.5,43.68038828113049
2023-10-31,39.15999984741211,39.28073725165764
2023-11-01,35.939998626708984,36.04029113255629
2023-11-02,35.58000183105469,35.67349058962585
2023-11-03,35.0,35.08267577229898
2023-11-06,35.099998474121094,35.17624565332745
2023-11-07,35.0,35.06895110927743
2023-11-08,35.060001373291016,35.125350777042755
2023-11-09,34.599998474121094,34.65494376886621
2023-11-10,34.86000061035156,34.915713754808976
2023-11-13,34.58000183105469,34.62996735963192
2023-11-14,34.31999969482422,34.3633823472419
2023-11-15,34.41999816894531,34.46250685487179
2023-11-16,34.380001068115234,34.42118907969175
2023-11-17,34.02000045776367,34.05400983145968
2023-11-20,34.68000030517578,34.72426933861816
2023-11-21,34.86000061035156,34.910811216375485
2023-11-22,34.5,34.547106682641804
2023-11-23,34.0,34.03787588304864
2023-11-24,33.91999816894531,33.95356262265437
2023-11-27,33.81999969482422,33.85024601394693
2023-11-28,33.220001220703125,33.23885492877947
2023-11-29,32.02000045776367,32.02477855373344
2023-11-30,31.700000762939453,31.697559021292385
2023-12-01,32.040000915527344,32.03772187472132
2023-12-04,32.040000915527344,32.038511106233635
2023-12-05,32.68000030517578,32.68917603813899
2023-12-06,31.399999618530273,31.389047843939927
2023-12-07,31.520000457763672,31.50714261540084
2023-12-08,32.20000076293945,32.19356126020236
2023-12-11,30.780000686645508,30.757730777318727
2023-12-12,30.0,29.972786270662784
2023-12-13,28.139999389648438,28.109718229291843
2023-12-14,28.639999389648438,28.607955547445734
2023-12-15,28.940000534057617,28.908520169942754
